Location	Block	Variety	Yield
1	1	Honeoye	6.71
1	1	AR	6.62
1	1	Iroquois	7.45
1	1	Vernal	6.5
1	1	M-Leaf	6.49
1	2	Honeoye	6.15
1	2	AR	6.16
1	2	Iroquois	5.66
1	2	Vernal	5.13
1	2	M-Leaf	5.93
1	3	Honeoye	5.67
1	3	AR	6.43
1	3	Iroquois	5.67
1	3	Vernal	5.38
1	3	M-Leaf	5.25
1	4	Honeoye	5.99
1	4	AR	5.84
1	4	Iroquois	5.51
1	4	Vernal	5.44
1	4	M-Leaf	5.38
1	5	Honeoye	8.08
1	5	AR	6.54
1	5	Iroquois	7.53
1	5	Vernal	7.36
1	5	M-Leaf	6.86
2	6	Honeoye	6.43
2	6	AR	6.01
2	6	Iroquois	6.43
2	6	Vernal	6.35
2	6	M-Leaf	6.28
2	7	Honeoye	6.68
2	7	AR	6.06
2	7	Iroquois	6.71
2	7	Vernal	6.08
2	7	M-Leaf	6.49
2	8	Honeoye	6.32
2	8	AR	6.19
2	8	Iroquois	6.54
2	8	Vernal	5.88
2	8	M-Leaf	5.81
2	9	Honeoye	6.79
2	9	AR	6.33
2	9	Iroquois	6.36
2	9	Vernal	6.47
2	9	M-Leaf	6.08
2	10	Honeoye	6.14
2	10	AR	6.58
2	10	Iroquois	6.33
2	10	Vernal	6.4
2	10	M-Leaf	5.6
3	11	Honeoye	7.23
3	11	AR	6.42
3	11	Iroquois	6.42
3	11	Vernal	6.11
3	11	M-Leaf	5.53
3	12	Honeoye	5.53
3	12	AR	4.47
3	12	Iroquois	6.2
3	12	Vernal	5.56
3	12	M-Leaf	4.93
3	13	Honeoye	5.72
3	13	AR	5.3
3	13	Iroquois	6.1
3	13	Vernal	5.32
3	13	M-Leaf	5.44
3	14	Honeoye	6.09
3	14	AR	4.6
3	14	Iroquois	6.1
3	14	Vernal	5.17
3	14	M-Leaf	5.19
3	15	Honeoye	6.94
3	15	AR	6.02
3	15	Iroquois	6.75
3	15	Vernal	6.81
3	15	M-Leaf	5.86
