Gene	Variety	Array	Probe	Y
1	1	1	1	4.8
1	1	1	2	5.64
1	1	1	3	3.93
1	1	1	4	4.77
1	1	2	1	4.54
1	1	2	2	4.16
1	1	2	3	3.93
1	1	2	4	4.95
1	2	3	1	7.23
1	2	3	2	9.52
1	2	3	3	11.12
1	2	3	4	11.74
1	2	4	1	8.85
1	2	4	2	9.79
1	2	4	3	10.35
1	2	4	4	11.31
1	3	5	1	12.73
1	3	5	2	13.88
1	3	5	3	16.05
1	3	5	4	18.55
1	3	6	1	13.07
1	3	6	2	14.4
1	3	6	3	16.63
1	3	6	4	17.83
2	1	1	5	1.46
2	1	1	6	2.69
2	1	1	7	2.28
2	1	1	8	1.29
2	1	2	5	1.3
2	1	2	6	1.98
2	1	2	7	1.65
2	1	2	8	1.43
2	2	3	5	0.01
2	2	3	6	0.25
2	2	3	7	1.2
2	2	3	8	1.96
2	2	4	5	0.64
2	2	4	6	0.35
2	2	4	7	2.51
2	2	4	8	1.57
2	3	5	5	2.38
2	3	5	6	3.8
2	3	5	7	4.65
2	3	5	8	5.63
2	3	6	5	3.3
2	3	6	6	3.97
2	3	6	7	3.6
2	3	6	8	5.04
3	1	1	9	0.32
3	1	1	10	0.07
3	1	1	11	0.82
3	1	1	12	0.38
3	1	2	9	0.55
3	1	2	10	0.13
3	1	2	11	0.65
3	1	2	12	0.37
3	2	3	9	5.26
3	2	3	10	5.75
3	2	3	11	5.83
3	2	3	12	6.17
3	2	4	9	4.35
3	2	4	10	5.03
3	2	4	11	5.2
3	2	4	12	6.11
3	3	5	9	9.96
3	3	5	10	10.1
3	3	5	11	10.05
3	3	5	12	12.76
3	3	6	9	9.83
3	3	6	10	10.01
3	3	6	11	11.18
3	3	6	12	12.47
4	1	1	13	2.23
4	1	1	14	3.02
4	1	1	15	3.27
4	1	1	16	2.67
4	1	2	13	2.78
4	1	2	14	2.7
4	1	2	15	3.22
4	1	2	16	3.05
4	2	3	13	12.64
4	2	3	14	13.73
4	2	3	15	12.27
4	2	3	16	13.41
4	2	4	13	13.24
4	2	4	14	13.51
4	2	4	15	12.38
4	2	4	16	12.83
4	3	5	13	22.69
4	3	5	14	23.21
4	3	5	15	23.04
4	3	5	16	23.76
4	3	6	13	21.82
4	3	6	14	22.74
4	3	6	15	22.63
4	3	6	16	24.48
5	1	1	17	5.25
5	1	1	18	6.1
5	1	1	19	5.03
5	1	1	20	5.84
5	1	2	17	5.39
5	1	2	18	5.91
5	1	2	19	5.6
5	1	2	20	5.72
5	2	3	17	19.03
5	2	3	18	18.51
5	2	3	19	19.26
5	2	3	20	18.62
5	2	4	17	18.94
5	2	4	18	18.65
5	2	4	19	18.1
5	2	4	20	18.87
5	3	5	17	30.71
5	3	5	18	30.61
5	3	5	19	31.53
5	3	5	20	31.96
5	3	6	17	30.63
5	3	6	18	30.59
5	3	6	19	31.31
5	3	6	20	31.34
6	1	1	21	0.29
6	1	1	22	0.25
6	1	1	23	0.14
6	1	1	24	0.09
6	1	2	21	0.1
6	1	2	22	0.14
6	1	2	23	0.68
6	1	2	24	0.44
6	2	3	21	7.22
6	2	3	22	7.83
6	2	3	23	7.37
6	2	3	24	7.36
6	2	4	21	7.6
6	2	4	22	7.29
6	2	4	23	7.2
6	2	4	24	7.39
6	3	5	21	15.84
6	3	5	22	14.96
6	3	5	23	15.08
6	3	5	24	15.49
6	3	6	21	14.47
6	3	6	22	16.11
6	3	6	23	16.19
6	3	6	24	16.76
7	1	1	25	2.05
7	1	1	26	2.43
7	1	1	27	2.68
7	1	1	28	2.02
7	1	2	25	1.82
7	1	2	26	2.81
7	1	2	27	2.78
7	1	2	28	1.85
7	2	3	25	3.68
7	2	3	26	4.08
7	2	3	27	4.19
7	2	3	28	3.43
7	2	4	25	3.21
7	2	4	26	3.44
7	2	4	27	4.44
7	2	4	28	3.43
7	3	5	25	9.65
7	3	5	26	9.13
7	3	5	27	10.03
7	3	5	28	9.19
7	3	6	25	9.42
7	3	6	26	9.62
7	3	6	27	10.37
7	3	6	28	10.45
8	1	1	29	0.96
8	1	1	30	1.53
8	1	1	31	0.14
8	1	1	32	2.25
8	1	2	29	0.93
8	1	2	30	1.98
8	1	2	31	0.9
8	1	2	32	0.63
8	2	3	29	10.58
8	2	3	30	10.18
8	2	3	31	10.46
8	2	3	32	9.92
8	2	4	29	9.56
8	2	4	30	9.53
8	2	4	31	9.58
8	2	4	32	10.27
8	3	5	29	17.61
8	3	5	30	19.61
8	3	5	31	19
8	3	5	32	19.02
8	3	6	29	18.26
8	3	6	30	19.11
8	3	6	31	19.74
8	3	6	32	18.15
9	1	1	33	1.5
9	1	1	34	3.32
9	1	1	35	2.79
9	1	1	36	2.83
9	1	2	33	3.47
9	1	2	34	2.76
9	1	2	35	2.83
9	1	2	36	3.07
9	2	3	33	14.15
9	2	3	34	15.14
9	2	3	35	14.52
9	2	3	36	13.71
9	2	4	33	14.39
9	2	4	34	14.41
9	2	4	35	15.18
9	2	4	36	14.38
9	3	5	33	24.92
9	3	5	34	24.5
9	3	5	35	25.31
9	3	5	36	25.05
9	3	6	33	25.35
9	3	6	34	24.87
9	3	6	35	25.74
9	3	6	36	26.07
10	1	1	37	1.75
10	1	1	38	1.18
10	1	1	39	1.13
10	1	1	40	1.81
10	1	2	37	2.55
10	1	2	38	1.98
10	1	2	39	2.2
