Block	Shipping	Storage	Y
1	1	1	73.31
1	1	1	66.59
1	1	1	61.61
1	1	1	64.05
1	1	2	53.05
1	1	2	57.75
1	1	2	47.85
1	1	2	45.31
1	2	1	67.71
1	2	1	80.75
1	2	1	76.24
1	2	1	72.31
1	2	2	47.88
1	2	2	49.64
1	2	2	54.77
1	2	2	50.43
1	3	1	78.1
1	3	1	76.07
1	3	1	73.84
1	3	1	83.11
1	3	2	55.29
1	3	2	59.97
1	3	2	57.6
1	3	2	59.28
2	1	1	62.85
2	1	1	73.25
2	1	1	61.44
2	1	1	62.97
2	1	2	85.95
2	1	2	76.62
2	1	2	87.89
2	1	2	82.1
2	2	1	61.64
2	2	1	55.51
2	2	1	54.96
2	2	1	65.78
2	2	2	76.51
2	2	2	83.63
2	2	2	85.78
2	2	2	77.18
2	3	1	52.21
2	3	1	56.81
2	3	1	51.14
2	3	1	64.86
2	3	2	72.96
2	3	2	76.7
2	3	2	77.81
2	3	2	76.14
3	1	1	76.04
3	1	1	72.9
3	1	1	73.24
3	1	1	76.77
3	1	2	92.29
3	1	2	91.61
3	1	2	93.83
3	1	2	88.77
3	2	1	67.23
3	2	1	72.89
3	2	1	60.24
3	2	1	66.6
3	2	2	92.7
3	2	2	88.18
3	2	2	87.55
3	2	2	87.37
3	3	1	64
3	3	1	64.73
3	3	1	62.92
3	3	1	59.3
3	3	2	82.85
3	3	2	82.78
3	3	2	77.18
3	3	2	75.78
