Block	Row	Column	Y													
1	dub	1	1.151													
1	half	1	1.37													
1	ref	1	1.24													
1	one	1	1.287													
1	dub	1	1.204													
1	half	1	1.332													
1	one	1	1.274													
1	ref	1	1.221													
1	dub	2	1.198													
1	half	2	1.295													
1	ref	2	1.245													
1	one	2	1.322													
1	dub	2	1.338													
1	half	2	1.369													
1	one	2	1.326													
1	ref	2	1.248													
1	dub	3	1.172													
1	half	3	1.28													
1	ref	3	1.29													
1	one	3	1.338													
1	dub	3	1.355													
1	half	3	1.325													
1	one	3	1.324													
1	ref	3	1.295													
1	dub	4	1.344													
1	half	4	1.381													
1	ref	4	1.333													
1	one	4	1.309													
1	dub	4	1.358													
1	half	4	1.339													
1	one	4	1.321													
1	ref	4	1.341								
1	dub	5	1.334								
1	half	5	1.42								
1	ref	5	1.359								
1	one	5	1.325								
1	dub	5	1.377								
1	half	5	1.457								
1	one	5	1.391								
1	ref	5	1.339								
1	dub	6	1.306								
1	half	6	1.766								
1	ref	6	1.486								
1	one	6	1.446								
1	dub	6	1.391								
1	half	6	1.765								
1	one	6	1.537								
1	ref	6	1.475
1	dub	7	1.512
1	half	7	2.069
1	ref	7	1.636
1	one	7	1.708
1	dub	7	1.52
1	half	7	1.938
1	one	7	1.742
1	ref	7	1.7
1	dub	8	1.684
1	half	8	2.137
1	ref	8	1.944
1	one	8	1.942
1	dub	8	1.584
1	half	8	2.07
1	one	8	1.982
1	ref	8	1.795
1	dub	9	1.794
1	half	9	1.84
1	ref	9	2.044
1	one	9	1.84
1	dub	9	1.841
1	half	9	1.738
1	one	9	1.728
1	ref	9	1.655
1	dub	10	2.127
1	half	10	2.259
1	ref	10	2.213
1	one	10	2.085
1	dub	10	2.207
1	half	10	2.16
1	one	10	2.272
1	ref	10	1.985
1	dub	11	2.043
1	half	11	2.217
1	ref	11	2.255
1	one	11	2.218
1	dub	11	2.087
1	half	11	2.228
1	one	11	2.203
1	ref	11	2.265
1	dub	12	2.164
1	half	12	2.563
1	ref	12	2.294
1	one	12	2.26
1	dub	12	2.187
1	half	12	2.385
1	one	12	2.132
1	ref	12	2.031
2	ref	1	1.207
2	half	1	1.337
2	one	1	1.215
2	dub	1	1.268
2	half	1	1.372
2	dub	1	1.235
2	ref	1	1.268
2	one	1	1.276
2	ref	2	1.267
2	half	2	1.333
2	one	2	1.348
2	dub	2	1.381
2	half	2	1.45
2	dub	2	1.349
2	ref	2	1.381
2	one	2	1.197
2	ref	3	1.307
2	half	3	1.402
2	one	3	1.358
2	dub	3	1.316
2	half	3	1.42
2	dub	3	1.309
2	ref	3	1.374
2	one	3	1.318
2	ref	4	1.318
2	half	4	1.282
2	one	4	1.297
2	dub	4	1.205
2	half	4	1.298
2	dub	4	1.226
2	ref	4	1.335
2	one	4	1.264
2	ref	5	1.442
2	half	5	1.408
2	one	5	1.364
2	dub	5	1.38
2	half	5	1.438
2	dub	5	1.352
2	ref	5	1.426
2	one	5	1.351
2	ref	6	1.505
2	half	6	1.73
2	one	6	1.561
2	dub	6	1.377
2	half	6	1.811
2	dub	6	1.456
2	ref	6	1.49
2	one	6	1.444
2	ref	7	1.587
2	half	7	1.749
2	one	7	1.581
2	dub	7	1.52
2	half	7	1.621
2	dub	7	1.45
2	ref	7	1.479
2	one	7	1.509
2	ref	8	1.888
2	half	8	2.032
2	one	8	1.879
2	dub	8	1.724
2	half	8	2.18
2	dub	8	1.729
2	ref	8	1.849
2	one	8	1.875
2	ref	9	2.067
2	half	9	2.243
2	one	9	2.385
2	dub	9	2.021
2	half	9	2.061
2	dub	9	1.896
2	ref	9	2.042
2	one	9	1.926
2	ref	10	2.088
2	half	10	2.43
2	one	10	2.078
2	dub	10	2.056
2	half	10	2.258
2	dub	10	2.11
2	ref	10	2.112
2	one	10	1.929
2	ref	11	2.14
2	half	11	2.349
2	one	11	2.214
2	dub	11	2.246
2	half	11	2.357
2	dub	11	2.183
2	ref	11	2.415
2	one	11	2.016
2	ref	12	2.196
2	half	12	2.322
2	one	12	2.158
2	dub	12	2.411
2	half	12	2.257
2	dub	12	2.361
2	ref	12	2.224
2	one	12	1.931														
3	ref	1	1.111														
3	half	1	1.266														
3	one	1	1.159														
3	dub	1	1.185														
3	one	1	1.189														
3	dub	1	1.245														
3	half	1	1.283														
3	ref	1	1.224														
3	ref	2	1.214														
3	half	2	1.245														
3	one	2	1.256														
3	dub	2	1.184														
3	one	2	1.329														
3	dub	2	1.264														
3	half	2	1.287														
3	ref	2	1.247									
3	ref	3	1.246									
3	half	3	1.287									
3	one	3	1.263									
3	dub	3	1.241									
3	one	3	1.286									
3	dub	3	1.257									
3	half	3	1.272									
3	ref	3	1.23									
3	ref	4	1.35									
3	half	4	1.577									
3	one	4	1.369									
3	dub	4	1.391									
3	one	4	1.456									
3	dub	4	1.299									
3	half	4	1.485									
3	ref	4	1.35
3	ref	5	1.405
3	half	5	1.324
3	one	5	1.345
3	dub	5	1.301
3	one	5	1.39
