Block	A	B	C	Y
1	1	-1	-1	117
1	1	-1	-1	109
1	1	-1	-1	101
1	1	-1	-1	105
1	1	-1	-1	116
1	1	-1	-1	110
1	1	-1	-1	102
1	1	-1	-1	102
1	-1	1	-1	181
1	-1	1	-1	167
1	-1	1	-1	175
1	-1	1	-1	163
1	-1	1	-1	161
1	-1	1	-1	169
1	-1	1	-1	162
1	-1	1	-1	170
1	-1	-1	1	153
1	-1	-1	1	162
1	-1	-1	1	139
1	-1	-1	1	164
1	-1	-1	1	165
1	-1	-1	1	153
1	-1	-1	1	152
1	-1	-1	1	147
1	1	1	1	170
1	1	1	1	166
1	1	1	1	168
1	1	1	1	167
1	1	1	1	163
1	1	1	1	172
1	1	1	1	159
1	1	1	1	169
2	-1	-1	-1	133
2	-1	-1	-1	124
2	-1	-1	-1	142
2	-1	-1	-1	132
2	-1	-1	-1	128
2	-1	-1	-1	120
2	-1	-1	-1	137
2	-1	-1	-1	120
2	1	1	-1	139
2	1	1	-1	141
2	1	1	-1	151
2	1	1	-1	147
2	1	1	-1	150
2	1	1	-1	144
2	1	1	-1	147
2	1	1	-1	144
2	1	-1	1	140
2	1	-1	1	130
2	1	-1	1	136
2	1	-1	1	135
2	1	-1	1	132
2	1	-1	1	138
2	1	-1	1	130
2	1	-1	1	147
2	-1	1	1	201
2	-1	1	1	190
2	-1	1	1	190
2	-1	1	1	199
2	-1	1	1	196
2	-1	1	1	199
2	-1	1	1	195
2	-1	1	1	201
