Run	Block	A	B	C	Y
1	1	-1	-1	1	129
1	1	-1	-1	1	137
1	1	-1	-1	1	137
1	1	-1	-1	1	151
1	1	-1	1	-1	139
1	1	-1	1	-1	146
1	1	-1	1	-1	164
1	1	-1	1	-1	145
1	1	1	-1	-1	103
1	1	1	-1	-1	105
1	1	1	-1	-1	94
1	1	1	-1	-1	115
1	1	1	1	1	168
1	1	1	1	1	154
1	1	1	1	1	149
1	1	1	1	1	146
1	2	-1	-1	-1	127
1	2	-1	-1	-1	113
1	2	-1	-1	-1	123
1	2	-1	-1	-1	105
1	2	-1	1	1	172
1	2	-1	1	1	164
1	2	-1	1	1	156
1	2	-1	1	1	171
1	2	1	-1	1	113
1	2	1	-1	1	124
1	2	1	-1	1	135
1	2	1	-1	1	122
1	2	1	1	-1	142
1	2	1	1	-1	143
1	2	1	1	-1	124
1	2	1	1	-1	137
2	1	-1	-1	-1	106
2	1	-1	-1	-1	131
2	1	-1	-1	-1	123
2	1	-1	-1	-1	116
2	1	1	-1	-1	94
2	1	1	-1	-1	105
2	1	1	-1	-1	100
2	1	1	-1	-1	108
2	1	-1	1	1	156
2	1	-1	1	1	166
2	1	-1	1	1	164
2	1	-1	1	1	168
2	1	1	1	1	162
2	1	1	1	1	152
2	1	1	1	1	162
2	1	1	1	1	150
2	2	-1	1	-1	138
2	2	-1	1	-1	142
2	2	-1	1	-1	152
2	2	-1	1	-1	155
2	2	-1	-1	1	137
2	2	-1	-1	1	129
2	2	-1	-1	1	139
2	2	-1	-1	1	134
2	2	1	1	-1	139
2	2	1	1	-1	140
2	2	1	1	-1	149
2	2	1	1	-1	139
2	2	1	-1	1	120
2	2	1	-1	1	123
2	2	1	-1	1	129
2	2	1	-1	1	132
