Rep	Row	Column	Treatment	Strength
1	1	1	A	33.8
1	1	2	B	33.7
1	1	3	D	30.4
1	1	4	C	32.7
1	1	5	E	24.4
1	2	1	D	37
1	2	2	E	28.8
1	2	3	B	33.5
1	2	4	A	34.6
1	2	5	C	33.4
1	3	1	C	35.8
1	3	2	D	35.6
1	3	3	A	36.9
1	3	4	E	26.7
1	3	5	B	35.1
1	4	1	E	33.2
1	4	2	A	37.1
1	4	3	C	37.4
1	4	4	B	38.1
1	4	5	D	34.1
1	5	1	B	34.8
1	5	2	C	39.1
1	5	3	E	32.7
1	5	4	D	37.4
1	5	5	A	36.4
2	1	1	A	34.2
2	1	2	B	34.4
2	1	3	C	30.9
2	1	4	D	30.4
2	1	5	E	23.3
2	2	1	B	33.7
2	2	2	C	33.7
2	2	3	D	38.4
2	2	4	E	32.8
2	2	5	A	33
2	3	1	C	35
2	3	2	D	34.3
2	3	3	E	26.7
2	3	4	A	36.8
2	3	5	B	36
2	4	1	D	30.8
2	4	2	E	37.6
2	4	3	A	36
2	4	4	B	35.4
2	4	5	C	37.7
2	5	1	E	34.7
2	5	2	A	36.5
2	5	3	B	36.6
2	5	4	C	38.9
2	5	5	D	36.8
