Block	Clutch	Oxygen	FC	PropSurv	TPropSurv	WholeClutchDeath
2	1	1	1	1	1.5708	0
2	1	1	0	1	1.5708	0
2	1	0	1	1	1.5708	1
2	1	0	0	0.75	1.0472	1
2	2	1	1	0	0	0
2	2	1	0	0	0	0
2	2	0	1	0	0	1
2	2	0	0	0	0	1
2	3	1	1	0.033	0.1827	0
2	3	1	0	0.02	0.1419	0
2	3	0	1	0.2	0.4636	1
2	3	0	0	0.05	0.2255	1
2	4	1	1	0.167	0.421	0
2	4	1	0	0.05	0.2255	0
2	4	0	1	0	0	1
2	4	0	0	0.125	0.3614	1
2	5	1	1	0	0	0
2	5	1	0	0	0	0
2	5	0	1	0	0	1
2	5	0	0	0	0	1
2	6	1	1	1	1.5708	0
2	6	1	0	0.67	0.9589	0
2	6	0	1	0.75	1.0472	1
2	6	0	0	0.5	0.7854	1
3	7	1	1	0	0	0
3	7	1	0	0	0	0
3	7	0	1	1	1.5708	1
3	7	0	0	0.33	0.6119	1
3	8	1	1	0	0	0
3	8	1	0	0	0	0
3	8	0	1	0	0	1
3	8	0	0	0	0	1
3	9	1	1	0	0	0
3	9	1	0	0	0	0
3	9	0	1	0	0	1
3	9	0	0	0	0	1
3	10	1	1	0	0	0
3	10	1	0	0.5	0.7854	0
3	10	0	1	0.75	1.0472	1
3	10	0	0	0.2	0.4636	1
3	11	1	1	0	0	0
3	11	1	0	0	0	0
3	11	0	1	0	0	1
3	11	0	0	0	0	1
4	12	1	1	0.75	1.0472	0
4	12	1	0	0.1	0.3218	0
4	12	0	1	0.67	0.9589	1
4	12	0	0	0.375	0.6591	1
4	13	1	1	1	1.5708	0
4	13	1	0	1	1.5708	0
4	13	0	1	1	1.5708	1
4	13	0	0	1	1.5708	1
4	14	1	1	0	0	0
4	14	1	0	0	0	0
4	14	0	1	0	0	1
4	14	0	0	0	0	1
5	15	1	1	0.75	1.0472	0
5	15	1	0	0.1	0.3218	0
5	15	0	1	0	0	1
5	15	0	0	0	0	1
5	16	1	1	0.5	0.7854	0
5	16	1	0	0.5	0.7854	0
5	16	0	1	0	0	1
5	16	0	0	0	0	1
5	17	1	1	0.1	0.3218	0
5	17	1	0	0.067	0.2618	0
5	17	0	1	1	1.5708	1
5	17	0	0	1	1.5708	1

