Machine	Obs	Y
1	1	-0.14
1	2	0.2
1	3	0.07
1	4	0.18
1	5	0.38
1	6	0.1
1	7	-0.04
1	8	-0.27
1	9	0.27
1	10	-0.21
1	11	0.39
1	12	-0.07
1	13	-0.02
1	14	0.28
1	15	0.09
1	16	0.13
1	17	0.26
1	18	0.07
1	19	-0.01
1	20	-0.19
2	1	0.46
2	2	0.11
2	3	0.12
2	4	0.47
2	5	0.24
2	6	0.06
2	7	-0.12
2	8	0.33
2	9	0.06
2	10	-0.03
2	11	0.05
2	12	0.53
2	13	0.42
2	14	0.29
2	15	0.36
2	16	0.04
2	17	0.17
2	18	0.02
2	19	0.11
2	20	0.12
3	1	0.21
3	2	0.78
3	3	0.32
3	4	0.45
3	5	0.22
3	6	0.35
3	7	0.54
3	8	0.24
3	9	0.47
3	10	0.62
3	11	0.47
3	12	0.55
3	13	0.59
3	14	0.71
3	15	0.45
3	16	0.48
3	17	0.44
3	18	0.5
3	19	0.2
3	20	0.61
4	1	0.49
4	2	0.58
4	3	0.52
4	4	0.29
4	5	0.27
4	6	0.55
4	7	0.4
4	8	0.14
4	9	0.48
4	10	0.34
4	11	0.01
4	12	0.33
4	13	0.18
4	14	0.13
4	15	0.48
4	16	0.54
4	17	0.51
4	18	0.42
4	19	0.45
4	20	0.2
