Rep	Block	Variety	Yield
1	1	1	3.13
1	1	2	4.62
1	1	3	3.87
1	1	4	4.6
1	1	5	4.76
1	2	6	3.97
1	2	7	2.72
1	2	8	3.9
1	2	9	3.11
1	2	10	3.06
1	3	11	4.66
1	3	12	4.3
1	3	13	4.83
1	3	14	5.1
1	3	15	4.58
1	4	16	4.15
1	4	17	4.37
1	4	18	4.85
1	4	19	3.77
1	4	20	4.24
1	5	21	3.86
1	5	22	4.39
1	5	23	4.6
1	5	24	4.34
1	5	25	4.38
2	6	1	4.06
2	7	2	4.41
2	8	3	4.02
2	9	4	5.11
2	10	5	4.75
2	6	6	3.83
2	7	7	4.42
2	8	8	4.18
2	9	9	4.33
2	10	10	5.29
2	6	11	3.9
2	7	12	4.48
2	8	13	4.36
2	9	14	4.7
2	10	15	4.54
2	6	16	4.76
2	7	17	4.77
2	8	18	4.66
2	9	19	4
2	10	20	4.1
2	6	21	4.62
2	7	22	4.86
2	8	23	4.24
2	9	24	4.25
2	10	25	4.5
3	11	1	4.03
3	15	2	4.47
3	14	3	4.06
3	13	4	5.45
3	12	5	4.12
3	12	6	4.26
3	11	7	4.66
3	15	8	4.96
3	14	9	4.44
3	13	10	4.86
3	13	11	4.31
3	12	12	4.58
3	11	13	4.6
3	15	14	4.32
3	14	15	4.06
3	14	16	4.1
3	13	17	4.96
3	12	18	4.08
3	11	19	4.45
3	15	20	4.41
3	15	21	4.28
3	14	22	4.85
3	13	23	3.79
3	12	24	4.68
3	11	25	4.18
4	16	1	3.84
4	19	2	3.96
4	17	3	4.74
4	20	4	4.24
4	18	5	3.7
4	17	6	4.8
4	20	7	3.35
4	18	8	4.82
4	16	9	3.4
4	19	10	4.8
4	18	11	3.25
4	16	12	4.48
4	19	13	4.14
4	17	14	5.07
4	20	15	3.48
4	19	16	3.77
4	17	17	4.67
4	20	18	3.72
4	18	19	4.6
4	16	20	4.7
4	20	21	3.42
4	18	22	4.38
4	16	23	3.74
4	19	24	4.54
4	17	25	4.84
5	21	1	4.99
5	23	2	4.58
5	25	3	4.66
5	22	4	4.25
5	24	5	3.94
5	22	6	4.07
5	24	7	3.92
5	21	8	4.37
5	23	9	4.36
5	25	10	4.73
5	23	11	4.07
5	25	12	4.52
5	22	13	4.1
5	24	14	4.54
5	21	15	3.37
5	24	16	3.76
5	21	17	4.23
5	23	18	5.36
5	25	19	4.09
5	22	20	4.36
5	25	21	4.27
5	22	22	4.88
5	24	23	3.58
5	21	24	5.09
5	23	25	4.4
6	26	1	3.96
6	27	2	5.04
6	28	3	4.82
6	29	4	5.2
6	30	5	4.46
6	27	6	5.41
6	28	7	4.71
6	29	8	5.21
6	30	9	4.39
6	26	10	4.36
6	28	11	4.13
6	29	12	4.4
6	30	13	4.4
6	26	14	4.34
6	27	15	4.46
6	29	16	4.24
6	30	17	5.48
6	26	18	4.85
6	27	19	5.4
6	28	20	4.26
6	30	21	4.31
6	26	22	4.72
6	27	23	3.89
6	28	24	4.77
6	29	25	3.23
