Ozone	Chamber	Variety	Location	Y
1	1	1	R	0.26
1	1	1	T	0.37
1	1	2	R	0.09
1	1	2	T	0.24
1	1	3	R	0.26
1	1	3	T	0.24
1	1	4	R	0.51
1	1	4	T	0.12
1	1	5	R	0.04
1	1	5	T	0.8
1	1	6	R	0.02
1	1	6	T	0.55
1	2	1	R	0.13
1	2	1	T	0.27
1	2	2	R	0.49
1	2	2	T	0.09
1	2	3	R	0.13
1	2	3	T	0.19
1	2	4	R	0.45
1	2	4	T	0.21
1	2	5	R	0.55
1	2	5	T	0
1	2	6	R	0.11
1	2	6	T	0.75
2	3	1	R	0.23
2	3	1	T	0.29
2	3	2	R	0.32
2	3	2	T	0.33
2	3	3	R	0.36
2	3	3	T	0.02
2	3	4	R	0.31
2	3	4	T	0.18
2	3	5	R	0.32
2	3	5	T	0.49
2	3	6	R	0.03
2	3	6	T	0.3
2	4	1	R	0.01
2	4	1	T	0.33
2	4	2	R	0.12
2	4	2	T	0.41
2	4	3	R	0.2
2	4	3	T	0.26
2	4	4	R	0.04
2	4	4	T	0.45
2	4	5	R	0.12
2	4	5	T	0.41
2	4	6	R	0.37
2	4	6	T	0.2
3	5	1	R	0.11
3	5	1	T	0.05
3	5	2	R	0.35
3	5	2	T	0.28
3	5	3	R	0.13
3	5	3	T	0.45
3	5	4	R	0.34
3	5	4	T	0.58
3	5	5	R	0.34
3	5	5	T	0.09
3	5	6	R	0.35
3	5	6	T	0.6
3	6	1	R	0.4
3	6	1	T	0.41
3	6	2	R	0.48
3	6	2	T	0.53
3	6	3	R	0.11
3	6	3	T	0.28
3	6	4	R	0.25
3	6	4	T	0.17
3	6	5	R	0.28
3	6	5	T	0.38
3	6	6	R	0.19
3	6	6	T	0.47
4	7	1	R	0.38
4	7	1	T	0.11
4	7	2	R	0.56
4	7	2	T	0.38
4	7	3	R	0.61
4	7	3	T	0.18
4	7	4	R	0.22
4	7	4	T	0.33
4	7	5	R	0.2
4	7	5	T	0.81
4	7	6	R	0.3
4	7	6	T	0.36
4	8	1	R	0.54
4	8	1	T	0.18
4	8	2	R	0.33
4	8	2	T	0.3
4	8	3	R	0.7
4	8	3	T	0.14
4	8	4	R	0.56
4	8	4	T	0.4
4	8	5	R	0.36
4	8	5	T	0.19
4	8	6	R	0.66
4	8	6	T	0.63
