Ozone	Chamber	Variety	Location	Y
1	1	1	R	0.26
1	1	1	T	0.37
1	1	2	R	0.09
1	1	2	T	0.24
1	1	3	R	0.26
1	1	3	T	0.24
1	1	4	R	0.51
1	1	4	T	0.12
1	1	5	R	0.04
1	1	5	T	0.8
1	1	6	R	0.02
1	1	6	T	0.55
1	2	1	R	0.13
1	2	1	T	0.27
1	2	2	R	0.49
1	2	2	T	0.09
1	2	3	R	0.13
1	2	3	T	0.19
1	2	4	R	0.45
1	2	4	T	0.21
1	2	5	R	0.55
1	2	5	T	0
1	2	6	R	0.11
1	2	6	T	0.75
2	1	1	R	0.23
2	1	1	T	0.29
2	1	2	R	0.32
2	1	2	T	0.33
2	1	3	R	0.36
2	1	3	T	0.02
2	1	4	R	0.31
2	1	4	T	0.18
2	1	5	R	0.32
2	1	5	T	0.49
2	1	6	R	0.03
2	1	6	T	0.3
2	2	1	R	0.01
2	2	1	T	0.33
2	2	2	R	0.12
2	2	2	T	0.41
2	2	3	R	0.2
2	2	3	T	0.26
2	2	4	R	0.04
2	2	4	T	0.45
2	2	5	R	0.12
2	2	5	T	0.41
2	2	6	R	0.37
2	2	6	T	0.2
3	1	1	R	0.11
3	1	1	T	0.05
3	1	2	R	0.35
3	1	2	T	0.28
3	1	3	R	0.13
3	1	3	T	0.45
3	1	4	R	0.34
3	1	4	T	0.58
3	1	5	R	0.34
3	1	5	T	0.09
3	1	6	R	0.35
3	1	6	T	0.6
3	2	1	R	0.4
3	2	1	T	0.41
3	2	2	R	0.48
3	2	2	T	0.53
3	2	3	R	0.11
3	2	3	T	0.28
3	2	4	R	0.25
3	2	4	T	0.17
3	2	5	R	0.28
3	2	5	T	0.38
3	2	6	R	0.19
3	2	6	T	0.47
4	1	1	R	0.38
4	1	1	T	0.11
4	1	2	R	0.56
4	1	2	T	0.38
4	1	3	R	0.61
4	1	3	T	0.18
4	1	4	R	0.22
4	1	4	T	0.33
4	1	5	R	0.2
4	1	5	T	0.81
4	1	6	R	0.3
4	1	6	T	0.36
4	2	1	R	0.54
4	2	1	T	0.18
4	2	2	R	0.33
4	2	2	T	0.3
4	2	3	R	0.7
4	2	3	T	0.14
4	2	4	R	0.56
4	2	4	T	0.4
4	2	5	R	0.36
4	2	5	T	0.19
4	2	6	R	0.66
4	2	6	T	0.63
