Rep	Row	Column	Treatment	Yield
1	1	1	3	26.7
1	2	1	1	23.1
1	3	1	2	28.3
1	4	1	4	25.1
1	1	2	1	19.7
1	2	2	2	20.7
1	3	2	4	20.1
1	4	2	3	17.4
1	1	3	2	28
1	2	3	4	24.9
1	3	3	3	29
1	4	3	1	28.7
1	1	4	4	29.8
1	2	4	3	29
1	3	4	1	27.3
1	4	4	2	34.1
2	5	5	1	22.3
2	6	5	2	29.5
2	7	5	3	17.3
2	8	5	4	19.5
2	5	6	2	21.3
2	6	6	3	28
2	7	6	4	24.6
2	8	6	1	29.3
2	5	7	3	28.8
2	6	7	4	24.1
2	7	7	1	19.8
2	8	7	2	28.5
2	5	8	4	30.9
2	6	8	1	28.7
2	7	8	2	34.1
2	8	8	3	27.4
3	9	9	4	21.8
3	10	9	3	28.3
3	11	9	1	22.6
3	12	9	2	26.8
3	9	10	1	20.2
3	10	10	4	20.6
3	11	10	2	21.1
3	12	10	3	16.5
3	9	11	2	28.1
3	10	11	1	25.4
3	11	11	3	26.5
3	12	11	4	24.5
3	9	12	3	24.6
3	10	12	2	33.4
3	11	12	4	26.8
3	12	12	1	26.4
