Lab	Solution	Day	Assay	Y
1	1	1	1	1.42
1	1	1	2	1.4
1	1	2	1	5.93
1	1	2	2	2.61
1	1	3	1	19.75
1	1	3	2	4.85
1	1	4	1	36.72
1	1	4	2	7.19
1	2	1	1	4.69
1	2	1	2	4.55
1	2	2	1	13.53
1	2	2	2	3.91
1	2	3	1	21.47
1	2	3	2	5.61
1	2	4	1	44.45
1	2	4	2	6.1
1	3	1	1	8.45
1	3	1	2	17.02
1	3	2	1	18.85
1	3	2	2	13.82
1	3	3	1	18.07
1	3	3	2	6.32
1	3	4	1	37.2
1	3	4	2	0.47
2	1	1	1	4.73
2	1	1	2	3.66
2	1	2	1	7.99
2	1	2	2	0.03
2	1	3	1	18.73
2	1	3	2	2.23
2	1	4	1	28.31
2	1	4	2	2.49
2	2	1	1	9.07
2	2	1	2	1.6
2	2	2	1	11.76
2	2	2	2	1.48
2	2	3	1	26.23
2	2	3	2	5.54
2	2	4	1	39.27
2	2	4	2	1.71
2	3	1	1	0.3
2	3	1	2	10.5
2	3	2	1	18.24
2	3	2	2	10.32
2	3	3	1	19.33
2	3	3	2	8.49
2	3	4	1	34.33
2	3	4	2	10.88
3	1	1	1	2.51
3	1	1	2	2.87
3	1	2	1	5.05
3	1	2	2	0.02
3	1	3	1	16.77
3	1	3	2	0.71
3	1	4	1	21.65
3	1	4	2	0.47
3	2	1	1	10.41
3	2	1	2	7.35
3	2	2	1	6.75
3	2	2	2	4.36
3	2	3	1	23.41
3	2	3	2	1.46
3	2	4	1	33.63
3	2	4	2	3.19
3	3	1	1	12.06
3	3	1	2	0.64
3	3	2	1	11.33
3	3	2	2	6.73
3	3	3	1	14.84
3	3	3	2	11.24
3	3	4	1	25.87
3	3	4	2	18.69
