Subject	Treatment	AFFX-BioB-5_at	AFFX-BioB-M_at	AFFX-BioB-3_at	AFFX-BioC-5_at	AFFX-BioC-3_at	AFFX-BioDn-5_at	AFFX-BioDn-3_at	AFFX-CreX-5_at	AFFX-CreX-3_at	AFFX-DapX-5_at	AFFX-DapX-M_at	AFFX-DapX-3_at	AFFX-LysX-5_at	AFFX-LysX-M_at	AFFX-LysX-3_at	AFFX-PheX-5_at	AFFX-PheX-M_at	AFFX-PheX-3_at	AFFX-ThrX-5_at	AFFX-ThrX-M_at	AFFX-ThrX-3_at	AFFX-TrpnX-5_at	AFFX-TrpnX-M_at	AFFX-TrpnX-3_at	AFFX-r2-Ec-bioB-5_at	AFFX-r2-Ec-bioB-M_at	AFFX-r2-Ec-bioB-3_at	AFFX-r2-Ec-bioC-5_at	AFFX-r2-Ec-bioC-3_at	AFFX-r2-Ec-bioD-5_at	AFFX-r2-Ec-bioD-3_at	AFFX-r2-P1-cre-5_at	AFFX-r2-P1-cre-3_at	AFFX-r2-Bs-dap-5_at	AFFX-r2-Bs-dap-M_at	AFFX-r2-Bs-dap-3_at	AFFX-r2-Bs-lys-5_at	AFFX-r2-Bs-lys-M_at	AFFX-r2-Bs-lys-3_at	AFFX-r2-Bs-phe-5_at	AFFX-r2-Bs-phe-M_at	AFFX-r2-Bs-phe-3_at	AFFX-r2-Bs-thr-3_s_at	AFFX-r2-Bs-thr-M_s_at	AFFX-r2-Bs-thr-5_s_at	AFFX-HUMISGF3A/M97935_5_at	AFFX-HUMISGF3A/M97935_MA_at	AFFX-HUMISGF3A/M97935_MB_at	AFFX-HUMISGF3A/M97935_3_at	AFFX-HUMRGE/M10098_5_at	AFFX-HUMRGE/M10098_M_at	AFFX-HUMRGE/M10098_3_at	AFFX-HUMGAPDH/M33197_5_at	AFFX-HUMGAPDH/M33197_M_at	AFFX-HUMGAPDH/M33197_3_at	AFFX-HSAC07/X00351_5_at	AFFX-HSAC07/X00351_M_at	AFFX-HSAC07/X00351_3_at	AFFX-M27830_5_at	AFFX-M27830_M_at	AFFX-M27830_3_at	AFFX-hum_alu_at	1007_s_at	1053_at	117_at	121_at	1255_g_at	1294_at	1316_at	1320_at	1405_i_at	1431_at	1438_at	1487_at	1494_f_at	1598_g_at	160020_at	1729_at	1773_at	177_at	179_at	1861_at	200000_s_at	200001_at	200002_at	200003_s_at	200004_at	200005_at	200006_at	200007_at	200008_s_at	200009_at	200010_at	200011_s_at	200012_x_at	200013_at	200014_s_at	200015_s_at	200016_x_at	200017_at	200018_at	200019_s_at	200020_at	200021_at	200022_at	200023_s_at	200024_at	200025_s_at	200026_at	200027_at	200028_s_at	200029_at	200030_s_at	200031_s_at	200032_s_at	200033_at	200034_s_at	200035_at	200036_s_at	200037_s_at	200038_s_at	200039_s_at	200040_at	200041_s_at	200042_at	200043_at	200044_at	200045_at	200046_at	200047_s_at	200048_s_at	200049_at	200050_at	200051_at	200052_s_at	200053_at	200054_at	200055_at	200056_s_at	200057_s_at	200058_s_at	200059_s_at	200060_s_at	200061_s_at	200062_s_at	200063_s_at	200064_at	200065_s_at	200066_at	200067_x_at	200068_s_at	200069_at	200070_at	200071_at	200072_s_at	200073_s_at	200074_s_at	200075_s_at	200076_s_at	200077_s_at	200078_s_at	200079_s_at	200080_s_at	200081_s_at	200082_s_at	200083_at	200084_at	200085_s_at	200086_s_at	200087_s_at	200088_x_at	200089_s_at	200090_at	200091_s_at	200092_s_at	200093_s_at	200094_s_at	200095_x_at	200096_s_at	200097_s_at	200098_s_at	200099_s_at	200593_s_at	200594_x_at	200595_s_at	200596_s_at	200597_at	200598_s_at	200599_s_at	200600_at	200601_at	200602_at	200603_at	200604_s_at	200605_s_at	200606_at	200607_s_at	200608_s_at	200609_s_at	200610_s_at	200611_s_at	200612_s_at	200613_at	200614_at	200615_s_at	200616_s_at	200617_at	200618_at	200619_at	200620_at	200621_at	200622_x_at	200623_s_at	200624_s_at	200625_s_at	200626_s_at	200627_at	200628_s_at	200629_at	200630_x_at	200631_s_at	200632_s_at	200633_at	200634_at	200635_s_at	200636_s_at	200637_s_at	200638_s_at	200639_s_at	200640_at	200641_s_at	200642_at	200643_at	200644_at	200645_at	200646_s_at	200647_x_at	200648_s_at	200649_at	200650_s_at	200651_at	200652_at	200653_s_at	200654_at	200655_s_at	200656_s_at	200657_at	200658_s_at	200659_s_at	200660_at
1	Post	961	1734.3	825.7	2746.8	3260.1	6078.9	11469.9	31041.9	42184.2	6.5	30.4	5.1	43.6	8.9	58.6	4.3	11.3	65.6	6.2	23.9	77.9	19	10.5	4.9	1414.8	1393.2	1374.2	3821.4	4722.9	15347.4	17134.9	49685.8	63532.2	44.9	27.4	54.3	5.9	8.8	57.6	7	83.4	150.6	15.5	121.9	126.5	510.4	1157.6	1010.2	4337.9	4282.9	2263.9	1102.7	52759.3	43379.6	48911.9	44868.3	56328.9	69814.6	1222.9	5980.4	262.2	86697.3	133.2	391.2	5793.2	561.5	9.2	1001	139.1	9.2	928.3	51.6	46.8	759.2	237.9	491.9	284.5	1717.5	170.8	211.8	745.9	364.1	1488.5	5614.6	12891.5	42056.3	20359.3	4883.8	10750.6	17945.5	4892.2	16762.4	21283.5	5463.9	28375.9	18716.8	10563.7	7363.6	20925.3	33134.8	36686	22147.8	2254.1	50831.8	22858	8076	10564.1	31941.8	37654.1	4150.5	2779.3	26374.6	10289.5	40979.1	41481.6	23024.1	21372.5	1159.4	9368.7	11146.8	31203.8	2860.2	6295	5031.3	728.7	8747.1	3461.9	695.4	3628.9	10512.7	16240.5	731.9	1094.7	1272.7	799.6	1673	197.7	5021	2634.3	6272.3	2665.9	41238.2	2094.5	37147.3	32270.3	11493.4	2168.8	16907.1	4326.2	22420.4	5917.5	463	1466.4	4132.7	3246.6	5145.3	10675	2532.4	1452.3	51681.9	16237.8	1853.7	51726.6	23339.2	14983.3	2368.5	3921	15190.6	8474.6	7327.4	22594.1	10364.5	6669	19854.3	41447	3262.5	5048.5	31719.2	25472.1	6645.5	2915	43007	2680.1	7794.7	2869.2	1165.5	651.7	972.3	3403.2	20162.4	2829.6	1075.3	18019.9	5168.5	23738.5	79.5	2364.7	6845.7	12871.4	2041.4	9492.4	1292	4480.3	15405.7	1367.2	483.4	614	14080.3	1837.5	20372.2	917.7	3750.4	1012.4	2513.4	37373.9	3340.5	8539.7	1888.5	3087.9	5333.1	3356.4	3497.2	38576.6	21322.2	66.2	8.8	19	15939.4	15873.9	17541.1	10071.7	3931.1	648.2	1239.7	29335.9	599.1	2632.6	13393.3	928.2	48085.6	16256.8	9864.5	20399.5	4857.6	15138.3	1290.5	6587.1	837.4	70.3	53389.3
1	Pre	734.8	1239.7	607.3	2425	2896.7	5295.6	10123.2	29135.8	35805.8	2.6	40.2	3.9	5.3	5.4	16.1	3.9	6.3	15.2	11.6	21.2	8.2	7.4	4.4	6.7	1179.2	1174.4	1028.2	3162	3329.8	13259.2	14714	38805.7	47573.1	4.6	1.2	2.9	2.4	3.4	47.8	18	3.9	36.7	4.6	42.3	72.9	1637.3	3294.1	3748.1	12958.4	19246.2	2010.7	824.5	22966.3	22539.6	26063.6	28112.1	38920.3	52084.9	1098.2	7665.8	27.5	66103.3	233.3	444.1	7048.7	580.7	28.6	1298.2	42.6	6.4	6685.9	32	38.8	827.7	172.7	299.5	190.6	1834.4	392.9	88.3	75	202.6	2999.4	5692.2	25129	52712.1	18304.5	7257.6	10039.9	13119.4	4139	17541.7	35383.2	5965.6	39116.2	27449.7	11678.8	12519	34734.8	45782.2	47640.3	25571	2666	38754.8	36616.4	14037.7	22115.5	35640.2	49156.1	8541.9	5258.3	38790.5	11558.4	39472.8	52831.2	21398.4	29468.5	1089.1	26022.5	9811.4	41965.9	2938.7	8724.4	5440.1	1551.3	5244.5	3803.7	1070.7	2638	12351.5	14559.1	1190.8	2036.3	1034.9	1202.8	1386.7	511	4593.2	2819.8	8931.9	4041	28993.4	3805.8	39783.6	49937.1	28138.7	5668.3	13479.5	5413.2	9192	6101.1	1294	1557.9	5514.3	3796.4	7943.3	20713	2213.9	1306.6	35332.1	10668	4553.5	43015.3	36833.1	24911.3	2254.3	5387.8	8389.4	10276.5	7401.9	36599.5	23352.1	9452.8	25292.3	47772.3	5626	12505.5	48670.8	18579.4	9119	3939.7	51777	2850.2	7498.7	6045.8	1300.3	917.9	1494.2	5278	16253.3	2310.2	775.5	14192.2	2934.8	20176.7	207.9	3258.1	7341.4	12538.1	4360.9	8095	1250.1	4976	14247.1	922.1	715.7	655.8	11297.4	2228.2	14594.2	929.1	2153.3	940.1	4504.3	26340.6	6431.4	13038.8	3440.7	7187.5	5936.6	5757.7	2133.5	41142.1	10027.7	10	98.6	9.2	9304.5	16357.2	14733.5	5055.6	7297.6	740.1	1957.4	25037.2	521.3	8193.9	8338.4	994.5	23720.2	26086.7	8446.7	8006.5	4948.7	10468.9	1223.3	8374	1081	287.3	29692.9
2	Post	1737.2	2926.7	1602.2	5256.6	5863.2	12802.8	18112.6	54442.2	70738.9	9.1	7.3	19.4	19.2	9.8	8.4	13.1	5	43.9	15.6	9.2	6.3	7.4	8.4	8.8	2504.1	2479.9	2248.2	7289.4	7701.1	27747	32545.3	88739.3	101602.8	76.4	9.2	3	3.2	4.9	134	7.9	20.3	183.7	11	81.3	52.1	402.5	1676	1242.5	5063.4	54752.3	6311.1	2272.3	48767.1	42281.9	50498	49240.3	70636.1	100063.3	1835.1	8117.7	335.3	138604.1	174.9	444.4	9387.3	561.5	11.1	1280.7	114	20.5	3995.8	13	65.7	699.2	189.6	431.6	243.4	1116.4	246.9	206.5	664.1	403.9	1627.3	4803.9	22840.2	70084.6	19641.2	5421.7	10397.4	21046.9	6333.3	19606.5	39871.6	5395.1	46230.5	28258.8	10206.5	5365.4	25770.1	46177.8	52455.2	31375.3	2038.6	70485.9	37267.9	10265.2	18325.5	43861.9	68059.9	4671.1	3752.5	39562.7	10159.2	63328.1	66717.1	26078.1	32141.1	681.2	15712.7	10867.1	52896.4	2551	6699	5610.2	791	7513.5	3491.5	818.6	3305.2	12107.8	15066	879	1166.2	1195.6	886.3	2669.5	335.7	4683.4	2163.5	6322	2485	45546.6	1809.3	58580.9	54655.6	16872.4	2753	14973.8	5201.8	21314.8	5961.5	434.6	1531	4272.4	2531.7	5605.1	15766.2	2090.7	1399.6	70854.2	18079.7	1950	69163.2	43857.8	24690.6	2166.5	4107.9	16698.6	10356.7	6636.8	36246.2	15612.1	7702.3	27325.7	65363.2	4819.2	6513.3	46227	28614.5	7114.8	3452.5	67538.7	3225.2	8593	3921.3	1331.9	532.2	1156	3248.4	16924.3	1805	919.2	16447.1	4398.9	23441.7	26.5	2396.8	5541.3	11808.9	2552.3	8524	1505.3	3336.6	14937	1026.4	473.8	671.6	12148.4	2034.9	21698.2	698.5	4814.5	1072	2977.2	38835.9	3643	9492.8	2313.1	3690.5	6618.3	4216	2908.7	51828.9	18997.3	21.5	33.5	16.1	11112.2	13036.4	14362	7601.9	4645.2	526.6	1151.2	29396.9	341.1	3370.1	18074.1	453.3	18162.2	26181.7	10585.6	19480.4	4084.1	15630.1	947.3	5982.3	748.1	266.6	62958.1
2	Pre	755.5	1215.3	670.9	2306.3	2800.8	6428.6	10486.7	27116.2	34746	1.4	43	8.8	16.9	5.6	36.2	3.4	4.8	78.5	7	5.4	5.5	10.9	4.5	24.9	1197.4	1036	1150.5	3406.8	3421.3	16150.8	17052.5	36556.8	47207.1	2.1	5.9	24.4	10	1.8	37.4	28	3	65	7.7	5.3	75.7	585.5	1845.3	1756.4	7761.9	370.2	270.9	571.7	16122.5	15314.5	19736.1	19937	31642.2	49955.4	785.6	5023.4	124.6	67925.1	392.8	399.4	6818.7	447.9	9.1	1593.1	95.7	12.9	17818.6	57.6	7	660	131.8	237.2	167.6	1921	187.5	34.9	263.1	212	2706.7	3836.6	31185.4	55748.9	20338.1	8466.1	9863.9	16013.7	5461.8	15660.7	40294.1	4612.1	44682.1	32991.8	10890.7	7714.5	37176.9	52518.3	46476.1	27964.7	2908.5	33267.6	42347	14866.1	28264.8	39322.5	52380.1	7526.6	5877.9	40001.6	10819.2	43697.7	56255.5	22729.1	32697.6	880.4	27064.5	8809.8	47916.8	2381.8	8672.8	6573.1	1493.4	6578.9	3438.4	1196.9	2770.7	12152.6	11950.9	1014.2	2614.9	802.5	1755.9	1867.6	575.8	3211.5	2263.3	7877.7	4270.1	26005.7	3891.7	44822.3	51284.1	28765.8	6960	11141	5530.9	7317.8	6494.3	1303.3	1350	5172.8	3690.9	6913.8	23016	2376	1419.4	35394.6	10492.9	3566.8	41624.5	47349.6	29466.5	2271.5	5541.2	9415.5	11634	7324.2	42471.2	26872.7	9692.6	29831.4	49735.4	6761.4	10527.8	50027.9	18297	8317	4700.3	53750.9	3090.9	8336.7	7071.9	1464.6	958	1808.9	6261.5	15351.4	2099.8	715.8	13744.6	2165	15553.9	245.5	2814.5	7430.5	11570.5	5514.5	6813.5	1580.4	4536.1	12487.5	665.9	643.2	787	8774.5	2202.7	11602.5	654.4	2193.7	1107.1	5601.9	23367.3	6856.5	11471.9	1397.1	3119.8	4981.1	5817.4	2144.2	40591.9	8093.3	6.2	6.4	38.2	6930.2	14511.3	12665.3	3913.3	9530.1	406.3	1110.2	17592.2	236.2	7522.2	5798.6	549.3	11135.3	27204.8	8856.7	15662.8	4652.6	10725.3	959.9	6604	1505.7	492.3	17921.7
3	Post	777.4	1597.8	750.3	2723.9	3239.2	5592.9	11440.6	27980.4	38701.3	21.1	36.4	37.6	4.2	20.3	4.5	20.9	7.7	7.9	6.4	5.5	8.4	32	4.8	20.9	1188.8	1346	1180.7	3319.7	3981.5	13386.5	14647.9	41210.4	52427.4	21.5	2	22.3	2.8	31.3	4.7	25.2	6.2	8.7	20.1	111.4	29.6	312	747.3	545.6	3243.9	1114.8	767.8	404.9	41675.1	35826.4	48657.5	41104.7	50891.5	58385.9	1432.5	4107	126	68393.5	149.7	367.3	4033.9	340.1	8.3	1211.6	96.5	11.3	1621.9	24	50.7	878.9	185.5	293	266.9	1986.2	203.6	285.5	399.8	340.9	2116	8883.8	14778.6	38460.3	17969.4	5781.2	9643.8	16948.4	3657.8	17782.1	18146.5	7531.3	29387.4	16120.8	7669.7	8272.3	26775.3	29424.6	36408.4	17643.2	2883.2	46741	19192.1	9841.6	10930.2	30004.3	37298	5585.6	4871.2	26040.8	10700.6	20923.3	34349.4	20557.5	17330.4	1377.5	12525.7	11282.4	27317.6	2501.6	6980	6888	1102.6	6908.9	5258.7	763.4	2352.8	11734	17734.8	990.6	877	1421.3	831.6	2062.8	285.9	6412.4	3294.6	6893.3	2745.5	36243.6	3402.6	32064.6	33847.5	12853.8	3058.7	19147.8	3711.9	26426.4	7849.1	533.2	1780.9	4065.7	3482.7	6538.4	10090.3	2344.8	1536	43022	12148.8	2458.4	43835.9	17381.7	14471.3	2384.8	4843.4	12710.7	9754.8	6315.2	22591.8	12226.5	8602.5	13718.9	42408.3	3691.3	8416.7	31926	20828.7	7379.5	2945.5	44202.4	2411.4	7631.9	4880.4	998	576.4	1024.3	3325.9	19282.9	4963.6	1442.6	14922.3	2594.7	23400.1	34.2	2600.2	5668.9	13509.6	1842.1	13363.6	1423	5792.7	17201.1	1443	443.2	861	13466.9	2255.4	14987.6	1097	3152.6	1500.7	2831.8	37517.3	4331.2	9022.3	2430.9	5047.1	4748.4	3262.7	4462.7	38434.1	16242.3	9.9	7.4	12.3	8424.3	17788.1	14367	5034.5	2994.1	787.9	1521.1	29462.5	1193.2	6240.2	8754.7	2672.9	31272.6	14800.6	7521.3	17818.7	8177.6	9668.1	1739.6	7271.6	581	154.1	47034.8
3	Pre	791.1	1349.7	711.2	2134.3	2830.1	6375.3	12116.6	29437.8	37876.9	7.6	22.7	1.9	28.7	9.1	36.5	35.7	5.4	25.8	4.6	11.6	10.3	4.8	9	2.6	1191.7	1329.8	1164.2	3187.5	3153	16479.1	18210.4	40756.7	54501.7	2.4	2.4	6.1	1.4	1.4	6.2	5.1	15.3	83.2	3.6	76.8	18.4	590.8	1466.8	1476.7	6590.1	652	493.7	799.5	20027.9	19574	22568.6	23554.4	35465	52477.4	1572	6208.8	24.8	74702.7	275.5	602.2	4932.9	442.2	33	1197.5	95.6	4.4	6593.8	50.7	68.1	746.2	72.9	117.8	279.4	1753.1	177.7	156	429.9	218.6	2961.3	3880.7	27577.9	55817.8	21442.3	7423.9	10568.9	15906	4281.8	15693.9	37157.2	5179.6	42615.9	30983.8	13913	8493.6	37668	47725.3	47615.5	27451	2763.3	36123.5	38705.1	15655.8	22088.3	37385.3	52899.5	8969.4	4707	39588.6	9168.1	40977.8	58994.8	25168.7	31097.5	905.1	26506	10409.8	46861.6	2399.3	9208.1	4505.6	1443.1	5326.4	3435.6	909.3	3141.7	13800.9	13681.8	913.1	2063	806.7	1437.4	1611.6	484.3	3242.3	3317.7	6937.7	3705.6	32189.4	3498.1	45339.2	51563.8	26172.4	5306.8	13638.1	5207.7	9016.4	5394.4	1007	1075.2	6214.1	3084.6	7190.2	17934.8	1976.3	1042.2	40765.4	12708.7	3430.2	48236.5	40552.1	26598.3	2231.9	5413.3	10268.9	10755.1	7237.9	40439.8	25166.8	9060.4	27587.5	55096.1	5896.5	9299.1	45124.8	23376.5	10105.1	3732.3	55113.5	2671.3	8209.5	6606.9	1298.2	1062.4	1327	5328.1	15765.1	3091.6	694.3	16813.7	2268.4	19365.2	50.5	3142.1	9173.8	12145.2	3416.2	7340.2	1107.7	4785.4	14550	715.6	578.1	717	9422.5	2239.1	14979.6	798.8	2044.6	846.4	4876.4	29979.7	6446.2	11250.9	2140.7	4157.8	6185	5728.1	2628	42422.7	8840.6	8.6	4.4	6.1	6704.8	12365	11264.6	3682.1	7319.5	532.2	1511.8	22850.8	469.1	6991.6	8113	782.9	11434.7	26109.6	7308.3	13247.4	3740.2	7619.5	998.9	7043.6	1134.7	322.2	27622.3
4	Post	1022.5	1761.7	871.8	2958.9	3497.6	7720.4	13675.7	33486.1	41223.2	27.7	5.4	53.8	3.3	8.6	13.6	3.2	6.4	16.8	7.8	4	6.1	27	5.4	36	1635.8	1458.1	1703	4216.1	4536.2	20755.6	23350	50225.7	64187.1	2.3	4.9	33.9	1.4	3	35.2	24.6	6.5	29.5	8.8	40.7	47.2	481.9	1092.4	711.2	3615.8	953.3	1028	599.4	47172.7	38789.2	46248.9	33202.1	45496.2	62042.6	1752.1	4305.5	214	80124.9	77.8	349.2	3356.8	475.6	7.9	874.9	152.9	6.7	4901.7	35.8	14.4	697	112.8	129	233.1	1604	184.9	311.2	417.6	389.5	1686.9	6127.6	13232.5	42337.1	20016.5	5180.4	9770.1	18310.7	3752.6	17520.4	18775.6	5547.1	31368.3	17842.2	8975.8	6207.2	21975.9	35606.1	32685.1	17209.4	2306.2	45517	19947.4	8993.1	10213	29611.5	36275.5	5492	2959.5	27264.4	9046.2	28466.5	36661.6	26042.4	20002.4	1265.4	9990.9	13653.3	33535.8	2421.4	6625	4888.6	914.4	7951.1	3962.5	629.6	2128.3	13081.6	16721.3	851.4	1282.5	1238.1	849.2	1910.3	285	4475.3	3435.8	5272.3	2999.8	41041.1	2827.6	33721.2	30142.7	12554.7	2570.8	14189.8	3906.8	23708.7	4808.2	597.9	1653.6	4394.6	2610.4	6448.1	9056.5	2060.3	1158.6	49700.6	13432.1	2070	55330.4	19359.3	15161.6	2202.9	4914.2	12388.4	10977.7	6932	20750.9	10247.4	6305.2	17497.4	39944.5	4319.6	4915.7	30332.4	26034.2	7672.6	3375.7	42424.1	2066.4	6386.8	3929.9	1052.6	496.3	823.1	2590.5	19070	2638.6	1338.6	25222	3050.2	21811.3	29	2419.3	7921.3	13832.8	1935.9	9998.8	1146.3	4337.8	17332.3	1463.2	447.5	566	12409.5	1998.2	18334.2	1282.9	4184.8	940.1	2882.1	34806.6	3553.8	8897.3	2614.3	4826.2	5171.1	2901.8	4340.9	41603.4	12808.6	109.8	6	20.9	10298.5	14992.1	14307	5834.7	3731.6	426.6	1300.4	27804	395.6	3363.7	10569.9	466.1	29805.4	15212.8	9468.5	21200.8	4715.6	9486.8	1699.9	6126.3	552.8	179.8	45673.4
4	Pre	706.6	1145.8	596.1	2189	2557.2	5585.6	11860.8	27801.7	33369.8	9.1	21.5	24.4	38.8	8.3	3.6	3.1	7.4	18.5	4.8	16.4	10.5	31.9	20.6	4	1151.6	1132.4	1003.5	2917.2	2832.1	14445.8	16032.9	35471.2	43721.5	1.5	1.8	0.9	22.8	10.9	24.5	2.8	3.6	60.8	24	60	29.6	841.8	1649.7	1549.8	6548.1	1777	2105.1	705.7	17344.5	17256.1	19630	16101.3	25549.6	42396.4	1553.1	8163.4	89.3	58516.6	190	513	2103.6	582.7	17.2	1174.4	88.2	4.4	21673.3	41.2	7.3	699	111.5	280.4	123	1892.8	144.3	88.3	71.1	159.6	2854.1	4011.5	29525	51600.7	19456.8	8941.1	12146.4	13664.4	4171.3	15221.7	34546.9	3790.4	39305.7	31639.2	12465.1	9694.5	38816.8	48172.4	45825.1	27758.9	3159	31115	36993.2	17075.1	25654.7	35694.4	44080.1	9510.9	6777.5	38427.8	11030.7	30642.7	51433.9	21659.2	31709.3	877.4	27543.2	12283.2	44108	2837.4	10891.8	4950	1880.5	5632.8	3777.5	1147.1	2437.2	12869	12905.3	983	4619.8	863.4	1694	1619.6	644.9	2868.8	3278	8244.1	3840.1	24796.1	4177.9	39337.9	48128.9	28624.1	5934.1	9321.1	5085.6	8463.7	6679	1672.5	1118.2	5582	3525.1	8838.4	24174.2	2588.9	973.1	29861.7	6061.6	4085.9	37135.2	41556.8	26540.2	2313.1	7074.6	7576.8	12286.4	8341.7	37190.4	26812.2	8817.6	27665.2	47426.8	8740.4	11392.9	45725.1	16611.1	8653.3	4661.2	48653.6	2595.8	8481.5	8163.5	1680.3	1108.7	2068.5	7440.5	13942.4	1847.4	1050.8	14306.8	1287.5	14177.7	42.8	2777.2	8241.9	13043.2	7227.4	5715.1	1688.1	4166.6	13948.9	972.6	683.7	681.2	7962.6	2064	12842.1	878.6	1911.1	962.4	7537.3	21732.1	8901.4	12687.1	2257.5	4075.8	5975.3	6669.2	2351.2	40507.3	7460.2	40.7	44.5	6.6	7223.1	15503	13502.5	3987.5	10123.8	483.5	1035.6	15126.9	190.9	8631	4022.5	470.1	11308.3	28796.1	8302	12691.9	3816	11999.5	1153	7618.2	1337.3	513.9	14160.8
5	Post	754.9	1374.1	637.2	2334.4	2733.9	6391.7	12169.2	27464.7	38097.9	26.9	20.7	26.3	26.7	6.9	5.5	8.1	2.6	10.8	8.2	4.7	12.9	6.3	7.1	33.4	1299.4	1029.5	1193.7	3261.2	3710.4	16677	18771.3	44044.2	57358.7	4.4	31.3	7.6	13.5	34.6	9.8	7.2	5.1	12.2	3	22.9	2.3	387.8	942.1	831.4	4156.7	2971.2	1036.1	532.7	47211.6	41907.6	52903.7	35627.6	51182.4	64284.9	2017.3	5286.2	152.4	75937.3	152.7	363.7	3928.1	572.3	11.3	778.1	63.4	5	2648	36.3	65.8	727.9	147.5	284.6	237.5	1860.8	293.9	208.7	459.6	298.8	2026.5	6024.2	14717.1	51291.1	20145.1	5235	11362.8	20627	4748.7	21432.6	20569.3	6709.5	34072.2	17250	9644.5	8451	26925.2	32397.4	37507.9	17803.8	2609.7	50279.8	20875.2	11914.4	12156.8	31716	40214.6	6819	4553.5	33092.5	9351.2	26993.9	43368	21135.3	21560.4	729.6	9364.8	12419.9	33762.4	2437.8	6753.8	3674.3	1153.3	6956.5	4022.1	780.5	2728	13320.1	15658	663.8	1233.1	1230.5	837	2259.9	246.2	4942	3338	6113.8	2707.5	35256.1	2451.4	39595.5	35214.7	11350.2	2590.1	15115.1	3828.3	26532.3	7149	489.4	1678.8	4934.2	3352.1	5671.5	9446.8	1860.7	1656	45607.3	11626.5	2036.4	47456.6	20947.5	15259.5	2269.1	5280.9	14645.3	10719.4	8664.4	28033.2	12981.9	9785.3	13930.9	50603.8	4021.5	6068.1	35794.8	24420.8	7199.3	3191	41881.4	2775.6	8143.8	5852.4	953.5	340.4	913.2	3894.8	16413.1	2579.9	1292.2	15055.6	2766.1	25007.9	71.8	2294.8	6724.5	17016.5	1963.4	10293	1251.2	3884.6	23683.7	1733.8	511.1	655.4	11154.9	1825.3	18115.1	1022	3094.5	982.1	3444.8	40024.7	4630.6	9541.5	1469.9	2696.4	4573.7	3259.6	3249.3	45435.5	13301.9	38.2	9.9	5.9	14153.7	14774	18004.3	8370.7	3325.3	569.7	1871.7	27081.1	725.2	3916.1	10358.8	1253.7	34556.3	17086.1	9007.5	14753.8	7318.3	12919.5	1295.4	6545.3	632.1	276.5	43856.3
5	Pre	809.8	1262.9	629.1	2100.7	2912.8	6166	11429.6	26784.6	32963.8	16.4	28.1	8.4	5.5	3.1	5.9	6.4	4	64.6	3.7	6.3	5.3	38.7	6.1	3.9	1246.1	1316.9	1121.6	3319.9	3458.7	16387	17792.8	39118.6	48239.2	1.9	1.4	25.4	37.7	3.9	28	11.7	19.6	11.2	10.4	51.4	15.1	1477	2918.2	3026	10269.2	549.1	379.5	582.7	18895.8	17232.3	20262.7	20275.6	28161.2	44434.8	1771.6	4784.4	24.1	68727.4	384.8	543.6	3607.1	405	34.6	1575	72.3	5	14113.2	32	14.9	646.2	106	251.7	170.9	2535.6	281.9	97.3	353.5	231.1	2916.7	3996.8	32481.2	58563.2	18363.2	8107.2	11950	15306.8	4605.1	16473.6	39326.2	3705.2	43477	35389.4	11597.6	8526.1	39139.5	48984.6	46205.6	29810.6	2833.5	31456.1	43719.6	16967.8	27528.8	36149.6	50742.1	7785.6	5562.9	41129.1	10691.5	44551.2	57046.7	24264.8	34126.8	661.3	30269.4	10356.4	48776	2628.5	10120.4	4950.1	1920.4	5855.9	3301.8	1160.6	3739.2	11699.5	11217.5	953.6	2690.6	1008.2	1723.4	1717.6	630.7	3431.6	2782.2	8566	4495.8	24269.3	3978.2	41581.6	53336.9	33109.6	7052.3	10828.1	5902.6	7339.2	5512.3	1126.5	1241.5	5057	3964.7	8180.4	25711.3	2853.2	1467.4	36320.4	8770.8	4364.4	43342.8	44751.7	28720.7	1825.7	6137.8	7425.7	12580.3	6985.5	47286.4	28211.2	8671.7	28856.6	55174.9	7276	11934	46316.8	19585.1	8510.4	4984.4	49630	2523.1	7605.6	6064	1415.6	910.8	1695.6	5995.7	12030.2	1967.9	634.3	12481.1	1822.6	14324.7	223.9	2652.2	7451.3	11809.7	4609.4	6019.4	1320.4	3969.8	10516.4	743.9	668.7	661	7422.1	2172.8	12328.3	934	2206.4	1062.9	5900.3	23238.8	7237.3	12749.1	1818	3849	6252	5900.1	2241.9	43994.4	8093	13	13	11.5	10346.3	13129.5	14045.6	6292.5	9979.5	426.8	1764.2	17350.7	516.8	6487	6105.1	917.3	12076.4	30292.8	9958.4	14714.7	3744.3	10037	1285.9	7105.5	1530.2	376.1	19212.7
