Array	Tissue	Dye	Gene	ExpLevel
1	P	1	1	7.561642
1	P	1	2	9.212737
1	P	1	3	7.807917
1	P	1	4	7.58172
1	P	1	5	8.58373
1	P	1	6	8.396606
1	P	1	7	8.644354
1	P	1	8	9.587475
1	P	1	9	7.909489
1	P	1	10	7.385851
1	P	1	11	7.769379
1	P	1	12	7.247793
1	P	1	13	8.025843
1	P	1	14	7.302496
1	P	1	15	7.333676
1	P	1	16	7.739794
1	P	1	17	7.739794
1	P	1	18	7.590852
1	P	1	19	9.282754
1	P	1	20	9.663516
1	P	1	21	6.980076
1	P	1	22	7.257003
1	P	1	23	7.257003
1	P	1	24	7.924434
1	P	1	25	8.343792
1	P	1	26	7.846981
1	P	1	27	7.801391
1	P	1	28	8.03722
1	P	1	29	8.068716
1	P	1	30	7.463363
1	P	1	31	6.992096
1	P	1	32	7.26892
1	P	1	33	8.471359
1	P	1	34	7.674617
1	P	1	35	7.72533
1	P	1	36	7.236339
1	P	1	37	7.832411
1	P	1	38	7.003065
1	P	1	39	7.603399
1	P	1	40	7.603399
1	P	1	41	7.79111
1	P	1	42	9.307739
1	P	1	43	7.190676
1	P	1	44	7.059618
1	P	1	45	8.895904
1	P	1	46	8.044305
1	P	1	47	7.137278
1	P	1	48	7.307202
1	P	1	49	8.401558
1	P	1	50	7.376508
1	P	1	51	7.194437
1	P	1	52	8.748781
1	P	1	53	7.77863
1	P	1	54	9.816349
1	P	1	55	8.118505
1	P	1	56	9.297893
1	P	1	57	7.841886
1	P	1	58	8.071843
1	P	1	59	6.888572
1	P	1	60	7.295056
1	P	1	61	7.54009
1	P	1	62	7.754482
1	P	1	63	6.926577
1	P	1	64	7.160069
1	P	1	65	7.911691
1	P	1	66	7.166266
1	P	1	67	7.510431
1	P	1	68	7.292337
1	P	1	69	7.815611
1	P	1	70	8.387768
1	P	1	71	8.212026
1	P	1	72	7.080868
1	P	1	73	7.502186
1	P	1	74	7.127694
1	P	1	75	7.935945
1	P	1	76	9.618735
1	P	1	77	7.5224
1	P	1	78	7.239215
1	P	1	79	7.156956
1	P	1	80	8.221748
1	P	1	81	7.735433
1	P	1	82	7.406103
1	P	1	83	7.923348
1	P	1	84	7.152269
1	P	1	85	8.235361
1	P	1	86	7.72312
1	P	1	87	8.807472
1	P	1	88	8.526549
1	P	1	89	7.354362
1	P	1	90	7.295056
1	P	1	91	7.051856
1	P	1	92	8.577347
1	P	1	93	8.77292
1	P	1	94	6.927558
1	P	1	95	7.625595
1	P	1	96	7.569412
1	P	1	97	7.398786
1	P	1	98	7.17012
1	P	1	99	7.916807
1	P	1	100	7.481556
1	L	2	1	8.116417
1	L	2	2	9.59281
1	L	2	3	9.142811
1	L	2	4	8.588397
1	L	2	5	9.060912
1	L	2	6	8.946505
1	L	2	7	8.884749
1	L	2	8	8.837971
1	L	2	9	8.674026
1	L	2	10	8.284252
1	L	2	11	8.490028
1	L	2	12	7.866339
1	L	2	13	8.77848
1	L	2	14	10.64502
1	L	2	15	8.292298
1	L	2	16	9.85849
1	L	2	17	9.85849
1	L	2	18	8.467372
1	L	2	19	9.671682
1	L	2	20	8.218787
1	L	2	21	7.41758
1	L	2	22	7.87967
1	L	2	23	7.87967
1	L	2	24	8.732788
1	L	2	25	8.803274
1	L	2	26	8.116417
1	L	2	27	8.498826
1	L	2	28	9.719745
1	L	2	29	8.801168
1	L	2	30	9.250042
1	L	2	31	7.479864
1	L	2	32	8.08764
