Rep	P	K	Trt	Variety	Y
1	0	0	pk	N	3.74
1	0	0	pk	O	3.21
1	0	0	pk	R	3.24
1	0	0	pk	G	3.13
1	0	0	pk	K	3.03
1	0	0	pk	A	3.52
1	1	0	Pk	N	3.65
1	1	0	Pk	O	4.06
1	1	0	Pk	R	4.42
1	1	0	Pk	G	3.88
1	1	0	Pk	K	4.1
1	1	0	Pk	A	4.54
1	0	1	pK	N	3.98
1	0	1	pK	O	4.32
1	0	1	pK	R	3.31
1	0	1	pK	G	2.86
1	0	1	pK	K	3.42
1	0	1	pK	A	3.74
1	1	1	PK	N	4.82
1	1	1	PK	O	5.29
1	1	1	PK	R	3.94
1	1	1	PK	G	4.05
1	1	1	PK	K	4.84
1	1	1	PK	A	4.95
2	0	0	pk	N	4.65
2	0	0	pk	O	4.72
2	0	0	pk	R	4.21
2	0	0	pk	G	4.43
2	0	0	pk	K	4.15
2	0	0	pk	A	3.61
2	1	0	Pk	N	5.45
2	1	0	Pk	O	4.54
2	1	0	Pk	R	4.94
2	1	0	Pk	G	4.8
2	1	0	Pk	K	4.74
2	1	0	Pk	A	4.53
2	0	1	pK	N	4.78
2	0	1	pK	O	3.78
2	0	1	pK	R	3.93
2	0	1	pK	G	3.81
2	0	1	pK	K	4.14
2	0	1	pK	A	3.4
2	1	1	PK	N	6.13
2	1	1	PK	O	6
2	1	1	PK	R	5.8
2	1	1	PK	G	5.24
2	1	1	PK	K	5.15
2	1	1	PK	A	5.39
